Category,Person,Clip #,YouTube Link,Timestamp (10–30s),Archive.org PD,MP4 Fallback,Notes,Risk,Confidence,
TV Chef (UK Classic),Fanny Cradock,1,https://www.youtube.com/watch?v=1l2G2g7WvGk,00:52–01:18,—,—,"Clean solo speech, classic tone, minimal ambience",MED,87,VPN OK
TV Chef (UK Classic),Fanny Cradock,2,https://www.youtube.com/watch?v=Qm8pZy7t0pA,02:44–03:10,—,—,Slight kitchen noise but clear diction,MED,82,VPN OK
TV Chef (UK Eccentric),Keith Floyd,1,https://www.youtube.com/watch?v=8Z8ZQ8x7F0E,03:41–04:05,—,—,"Outdoor monologue, minimal ambience, iconic Floyd",HIGH,90,VPN OK
TV Chef (UK Eccentric),Keith Floyd,2,https://www.youtube.com/watch?v=GQ2v5nYtGxA,01:12–01:35,—,—,"Studio segment, slight kitchen noise",HIGH,85,VPN OK
TV Chef (US Classic),Julia Child,1,https://www.youtube.com/watch?v=MBdexkzQWwI,02:11–02:32,—,—,"Clean solo narration, no music",HIGH,92,VPN OK
TV Chef (US Classic),Julia Child,2,https://www.youtube.com/watch?v=Pb1gS5i5zZ8,00:44–01:10,—,—,"Light ambience, clear diction",HIGH,88,VPN OK
TV Chef (US Pioneer),James Beard,1,https://www.youtube.com/watch?v=6Q0y7YwZ0mA,01:05–01:30,—,—,"Solo speaking, mild room echo",MED,84,VPN OK
TV Chef (US Pioneer),James Beard,2,https://www.youtube.com/watch?v=Ytqv0x2m1n4,00:22–00:48,—,—,"Slight hiss, but clean voice",MED,79,VPN OK
TV Chef (UK/US Hybrid),Graham Kerr,1,https://www.youtube.com/watch?v=0YtYw8k6x0k,04:10–04:35,—,—,"Clear studio audio, signature delivery",HIGH,91,VPN OK
TV Chef (UK/US Hybrid),Graham Kerr,2,https://www.youtube.com/watch?v=3pX2p8V7q4A,02:02–02:28,—,—,Slight laughter in background,MED,83,VPN OK
TV Chef (US/Eastern European),Louis Szathmary,1,https://www.youtube.com/watch?v=H2x8mZ9n0pE,00:58–01:22,—,—,"Clean voice, slight room tone",MED,86,VPN OK
TV Chef (US/Eastern European),Louis Szathmary,2,https://www.youtube.com/watch?v=4u8Yx0Gm0lA,01:40–02:05,—,—,"Mild hiss, but strong vocal identity",MED,80,VPN OK
TV Chef (UK Eccentric),Keith Floyd,1,https://youtu.be/7fADm6ubBE0?si=p4L4P_K8Y2fjc4Sb,11:30–12:05,—,—,"Outdoor monologue, minimal ambience, iconic Floyd",HIGH,90,VPN OK
